"hrgcode","hrg","trim.el","trim.nel","nelshortst","perc.nelshortst","tariff.op","tariff.dcel","tariff.dc","tariff.el","tariff.nel","tariff.overtrim","tariff.nelshortst"
"AA22C","Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",117,98,"Yes","30%",0,8207,0,0,9766,240,2930
"AA22D","Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",58,58,"Yes","30%",0,5629,0,0,5629,240,1689
"AA22E","Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",28,41,"Yes","30%",0,2161,0,0,4316,240,1295
"AA22F","Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",8,26,"Yes","30%",0,1212,0,0,3318,240,995
"AA22G","Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",5,14,"Yes","30%",0,417,0,0,2315,240,694
"AA23C","Haemorrhagic Cerebrovascular Disorders with CC Score 14+",118,118,"Yes","30%",0,9378,0,0,9378,240,2813
"AA23D","Haemorrhagic Cerebrovascular Disorders with CC Score 10-13",64,64,"Yes","30%",0,5519,0,0,5519,240,1656
"AA23E","Haemorrhagic Cerebrovascular Disorders with CC Score 6-9",35,35,"Yes","30%",0,3857,0,0,3857,240,1157
"AA23F","Haemorrhagic Cerebrovascular Disorders with CC Score 3-5",19,19,"Yes","30%",0,2757,0,0,2757,240,827
"AA23G","Haemorrhagic Cerebrovascular Disorders with CC Score 0-2",13,11,"Yes","50%",0,1737,0,0,2177,240,1089
"AA24C","Brain Tumours or Cerebral Cysts, with CC Score 11+",59,59,"Yes","30%",0,6416,0,0,6416,240,1925
"AA24D","Brain Tumours or Cerebral Cysts, with CC Score 8-10",23,38,"Yes","30%",0,3040,0,0,4287,240,1286
"AA24E","Brain Tumours or Cerebral Cysts, with CC Score 6-7",13,31,"Yes","30%",0,1430,0,0,3427,240,1028
"AA24F","Brain Tumours or Cerebral Cysts, with CC Score 4-5",5,22,"Yes","30%",0,847,0,0,2955,240,887
"AA24G","Brain Tumours or Cerebral Cysts, with CC Score 2-3",5,16,"Yes","30%",0,676,0,0,2399,240,720
"AA24H","Brain Tumours or Cerebral Cysts, with CC Score 0-1",5,11,"Yes","50%",0,551,0,0,1833,240,917
"AA25C","Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",168,95,"Yes","30%",0,6511,0,0,7843,240,2353
"AA25D","Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",43,48,"Yes","30%",0,2169,0,0,4361,240,1308
"AA25E","Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",10,29,"Yes","30%",0,1380,0,0,3132,240,940
"AA25F","Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",5,16,"Yes","30%",0,954,0,0,2248,240,674
"AA25G","Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",5,8,"Yes","50%",0,587,0,0,1341,240,671
"AA26C","Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",90,90,"Yes","30%",0,7434,0,0,7434,240,2230
"AA26D","Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",48,48,"Yes","30%",0,4269,0,0,4269,240,1281
"AA26E","Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",23,30,"Yes","30%",0,2328,0,0,3039,240,912
"AA26F","Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",5,14,"No","-",0,1004,0,0,1492,240,0
"AA26G","Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",5,8,"No","-",0,705,0,0,920,240,0
"AA26H","Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",5,5,"No","-",0,507,0,0,552,240,0
"AA27Z","Medical Care of Patients with Alzheimer's Disease",60,63,"Yes","30%",0,5282,0,0,5507,240,1652
"AA28C","Motor Neuron Disease with CC Score 8+",40,70,"Yes","30%",0,4280,0,0,7309,240,2193
"AA28D","Motor Neuron Disease with CC Score 5-7",15,43,"Yes","30%",0,1781,0,0,3960,240,1188
"AA28E","Motor Neuron Disease with CC Score 2-4",13,25,"Yes","30%",0,1348,0,0,2998,240,899
"AA28F","Motor Neuron Disease with CC Score 0-1",8,21,"Yes","30%",0,884,0,0,2788,240,836
"AA29C","Transient Ischaemic Attack with CC Score 11+",93,29,"Yes","30%",0,1808,0,0,3161,240,948
"AA29D","Transient Ischaemic Attack with CC Score 8-10",5,9,"Yes","50%",0,686,0,0,1623,240,811
"AA29E","Transient Ischaemic Attack with CC Score 5-7",5,6,"Yes","75%",0,463,0,0,1015,240,761
"AA29F","Transient Ischaemic Attack with CC Score 0-4",5,5,"No","-",0,348,0,0,598,240,0
"AA30C","Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",66,91,"Yes","30%",0,2875,0,0,7021,240,2106
"AA30D","Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",10,44,"Yes","30%",0,841,0,0,4411,240,1323
"AA30E","Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",5,24,"Yes","30%",0,244,0,0,2898,240,869
"AA30F","Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",5,13,"Yes","50%",0,167,0,0,1653,240,827
"AA31C","Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",19,19,"Yes","30%",0,2362,0,0,2362,240,709
"AA31D","Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",8,10,"No","-",0,1039,0,0,1034,240,0
"AA31E","Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",5,5,"No","-",0,400,0,0,574,240,0
"AA32Z","Neuropsychology Tests",5,5,"No","-",378,378,0,0,378,240,0
"AA33C","Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",5,6,"No","-",198,198,0,0,1177,240,0
"AA33D","Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",5,5,"No","-",248,248,0,0,1022,436,0
"AA35A","Stroke with CC Score 16+",134,134,"No","-",0,12129,0,0,11417,240,0
"AA35B","Stroke with CC Score 13-15",94,94,"No","-",0,7775,0,0,7062,240,0
"AA35C","Stroke with CC Score 10-12",69,69,"No","-",0,5761,0,0,5048,240,0
"AA35D","Stroke with CC Score 7-9",46,46,"No","-",0,4009,0,0,3297,240,0
"AA35E","Stroke with CC Score 4-6",25,25,"No","-",0,2735,0,0,2023,240,0
"AA35F","Stroke with CC Score 0-3",14,14,"No","-",0,1829,0,0,1117,240,0
"AA50A","Very Complex Intracranial Procedures, 19 years and over, with CC Score 12+",139,148,"No","-",0,22257,0,0,22717,240,0
"AA50B","Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",63,86,"No","-",0,13596,0,0,16507,240,0
"AA50C","Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",29,65,"No","-",0,9275,0,0,12857,240,0
"AA50D","Very Complex Intracranial Procedures, 18 years and under, with CC Score 12+",171,171,"No","-",0,40550,0,0,40550,240,0
"AA50E","Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",44,81,"No","-",0,16218,0,0,22774,436,0
